entreprise,zone,site,status,email
Depot,seed-lists,https://depot.dev?utm_source=github&utm_medium=sindresorhus,FOUND,contact@depot.dev
Coplay,seed-lists,https://coplay.dev?ref=github&utm_source=magictools,NOT_FOUND,
Sfml Dev,seed-lists,http://www.sfml-dev.org/,NOT_FOUND,
Gbstudio,seed-lists,https://www.gbstudio.dev/,NOT_FOUND,
Github,seed-lists,https://github.com/dypsilon/frontend-dev-bookmarks#readme,NOT_FOUND,
meilleurtaux.com,Paris (Paris-Centre),https://www.meilleurtaux.com/,FOUND,xxxx@meilleurtaux.com,https://www.meilleurtaux.com/,https://www.meilleurtaux.com/page-carriere/ | https://www.meilleurtaux.com/a-propos-de-meilleurtaux/contactez-nous.html | https://www.meilleurtaux.com/a-propos-de-meilleurtaux/mentions-legales/conditions-generales-utilisation-site.html | https://www.meilleurtaux.com/a-propos-de-meilleurtaux/mentions-legales.html | https://www.meilleurtaux.com/a-propos-de-meilleurtaux/mentions-legales/mentions-comparateurs.html,FOUND
SAI - NDP,Paris (Paris-Centre),http://www.sai-ndp.fr/,NOT_FOUND,,,,UNSTABLE
École des chiens guides,Paris (Paris-Centre),http://www.chien-guide-paris.asso.fr/,NOT_FOUND,,,,UNSTABLE
Microsoft France,Paris (Paris-Centre),http://www.microsoft.com/fr/fr/,NOT_FOUND,,,,UNSTABLE
Christophe Chosson,Paris (Paris-Centre),https://www.atelier126archi.fr/,FOUND,contact@atelier126archi.fr,https://www.atelier126archi.fr/,https://www.atelier126archi.fr/contact | https://www.atelier126archi.fr/mentions-legales,FOUND
Aerow SAS,Paris (Paris-Centre),http://www.aerow.fr,NOT_FOUND,,,,UNSTABLE
Easter-eggs,Paris (Paris-Centre),https://www.easter-eggs.com/,FOUND,info@easter-eggs.com,https://www.easter-eggs.com/,,FOUND
Atelier Baste Batlle Architectes,Paris (Paris-Centre),https://www.abba.archi/,FOUND,devel@tecob.com,https://www.abba.archi/,https://www.abba.archi/contact,FOUND
/ut7,Paris (Paris-Centre),http://ut7.fr,FOUND,'paris@ut7.fr',http://ut7.fr,http://ut7.fr/legal.html,FOUND
Quadra Informatique,Paris (Paris-Centre),https://www.quadra-informatique.fr/,NOT_FOUND,,,,UNSTABLE
L'Atelier Digital,Paris (Paris-Centre),https://latelierdigital.paris,FOUND,contact@latelierdigital.paris,https://latelierdigital.paris,https://latelierdigital.paris/contact/ | https://latelierdigital.paris/mentions-legales/,FOUND
Zenika,Paris (Paris-Centre),https://zenika.com/,FOUND,place@zenika.com,https://zenika.com/,https://jobs.zenika.com | https://zenika.com/contact,FOUND
